"Name","DisplayName","StartType"
"LSM","Local Session Manager","Automatic"
"MDCoreSvc","Microsoft Defender Core Service","Automatic"
"mpssvc","Windows Defender Firewall","Automatic"
"MTKBTSVC","MTKBTSVC","Automatic"
"MyDock","MyDock","Automatic"
"NcbService","Network Connection Broker","Manual"
"netprofm","Network List Service","Manual"
"NPSMSvc_199e2f","Now Playing Session Manager Service_199e2f","Manual"
"nsi","Network Store Interface Service","Automatic"
"nvagent","Network Virtualization Service","Manual"
"NvContainerLocalSystem","NVIDIA LocalSystem Container","Automatic"
"NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","Automatic"
"PcaSvc","Program Compatibility Assistant Service","Manual"
"PCManager Service Store","Microsoft PC Manager Service","Automatic"
"PDF24","PDF24","Automatic"
"PhoneSvc","Phone Service","Manual"
"PlugPlay","Plug and Play","Manual"
"PolicyAgent","IPsec Policy Agent","Manual"
"Power","Power","Automatic"
"ProfSvc","User Profile Service","Automatic"
"RasMan","Remote Access Connection Manager","Manual"
"RmSvc","Radio Management Service","Manual"
"RpcEptMapper","RPC Endpoint Mapper","Automatic"
"RpcSs","Remote Procedure Call (RPC)","Automatic"
"RstMwService","Intel(R) Storage Middleware Service","Automatic"
"RtkAudioUniversalService","Realtek Audio Universal Service","Automatic"
"SamSs","Security Accounts Manager","Automatic"
"Schedule","Task Scheduler","Automatic"
"SecurityHealthService","Windows Security Service","Manual"
"SENS","System Event Notification Service","Automatic"
"SharedAccess","Internet Connection Sharing (ICS)","Manual"
"ShellHWDetection","Shell Hardware Detection","Automatic"
"Spooler","Print Spooler","Automatic"
"SSDPSRV","SSDP Discovery","Manual"
"ssh-agent","OpenSSH Authentication Agent","Automatic"
"sshd","OpenSSH SSH Server","Automatic"
"SstpSvc","Secure Socket Tunneling Protocol Service","Manual"
"StateRepository","State Repository Service","Automatic"
"StiSvc","Windows Image Acquisition (WIA)","Automatic"
"StorSvc","Storage Service","Manual"
"SystemEventsBroker","System Events Broker","Automatic"
"TextInputManagementService","Text Input Management Service","Automatic"
"Themes","Themes","Automatic"
"TimeBrokerSvc","Time Broker","Manual"
"TokenBroker","Web Account Manager","Manual"
"TrkWks","Distributed Link Tracking Client","Automatic"
"UdkUserSvc_199e2f","Udk User Service_199e2f","Manual"
"UserManager","User Manager","Automatic"
"UsoSvc","Update Orchestrator Service","Manual"
"VaultSvc","Credential Manager","Manual"
"Wallpaper Engine Service","Wallpaper Engine Service","Automatic"
"Wcmsvc","Windows Connection Manager","Automatic"
"WdiSystemHost","Diagnostic System Host","Manual"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Manual"
"webthreatdefsvc","Web Threat Defense Service","Manual"
"webthreatdefusersvc_199e2f","Web Threat Defense User Service_199e2f","Automatic"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Manual"
"whesvc","Windows Health and Optimized Experiences","Automatic"
"WinDefend","Microsoft Defender Antivirus Service","Automatic"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Manual"
"Winmgmt","Windows Management Instrumentation","Automatic"
"WlanSvc","WLAN AutoConfig","Automatic"
"WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","Automatic"
"WpnService","Windows Push Notifications System Service","Manual"
"WpnUserService_199e2f","Windows Push Notifications User Service_199e2f","Automatic"
"wscsvc","Security Center","Automatic"
"WSearch","Windows Search","Automatic"
"WSLService","WSL Service","Automatic"
